NUM,GRUPO,EJECUCION,TEMA,TIPO,TIPO_TABLA,CONDICION,DESC_REGLA,VALOR_SI,VALOR_NO,NUEVO_CAMPO,TIPO_DATO,DESC_FUNCIONAL,PARTICION,ACTIVA,FECDESDE,FECHASTA,PERIODICIDAD,OBJETIVO,DESCRIPCION
7,AFISACBHEF,AFISACBHEF07,$TMPBOR.TMP_AFISACBHEF07,Filtro,INSERTTMP,WHERE,=,ab.cod_tipo_activo,'CURRENCY',,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
7,AFISACBHEF,AFISACBHEF07,$TMPBOR.TMP_AFISACBHEF07,Filtro,INSERTTMP,AND,between,to_date(ab.fec_balance),"date_add($FECHA_DATOS,-90) and date_add($FECHA_DATOS,10)",,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
7,AFISACBHEF,AFISACBHEF07,$TMPBOR.TMP_AFISACBHEF07,Filtro,INSERTTMP,AND,NOT IN,ab.cod_cliente,(select VALOR from $TMPBOR.TMP_AFISACBHEF06),,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
7,AFISACBHEF,AFISACBHEF07,$TMPBOR.TMP_AFISACBHEF07,Grupo,INSERTTMP,GRUPO,"ab.cod_entidad_legal,ab.cod_cliente,ab.nom_corto_instr,ab.fec_balance",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
8,AFISACBHEF,AFISACBHEF08,$TMPBOR.TMP_AFISACBHEF08,Codigo,INSERTTMP,SELECT,*,,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
8,AFISACBHEF,AFISACBHEF08,$TMPBOR.TMP_AFISACBHEF08,Tabla,INSERTTMP,FROM,"$TMPBOR.TMP_AFISACBHEF03 cross join (select distinct br, accountno, ccy from $TMPBOR.TMP_AFISACBHEF07) t",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
9,AFISACBHEF,AFISACBHEF09,$TMPBOR.TMP_AFISACBHEF09,Codigo,INSERTTMP,SELECT,"piv.br, piv.accountno, piv.ccy,piv.t_fch instrtdte_t, nvl(sdst.origbalance,0) origbalance_t,piv.t1_fch instrtdte_t1, nvl(sdst1.origbalance,0) origbalance_t1,piv.t2_fch instrtdte_t2, nvl(sdst2.origbalance,0) origbalance_t2,piv.t3_fch instrtdte_t3, nvl(sdst3.origbalance,0) origbalance_t3,piv.t4_fch instrtdte_t4, nvl(sdst4.origbalance,0) origbalance_t4",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
9,AFISACBHEF,AFISACBHEF09,$TMPBOR.TMP_AFISACBHEF09,Tabla,INSERTTMP,FROM,$TMPBOR.TMP_AFISACBHEF08 piv left join $TMPBOR.TMP_AFISACBHEF07 sdst on to_date(sdst.instrtdte) = to_date(piv.t_fch) and sdst.accountno = piv.accountno and sdst.br = piv.br and sdst.ccy = piv.ccy left join $TMPBOR.TMP_AFISACBHEF07 sdst1 on to_date(sdst1.instrtdte) = to_date(piv.t1_fch) and sdst1.accountno = piv.accountno and sdst1.br = piv.br and sdst1.ccy = piv.ccy left join $TMPBOR.TMP_AFISACBHEF07 sdst2 on to_date(sdst2.instrtdte) = to_date(piv.t2_fch) and sdst2.accountno = piv.accountno and sdst2.br =piv.br and sdst2.ccy = piv.ccy left join $TMPBOR.TMP_AFISACBHEF07 sdst3 on to_date(sdst3.instrtdte) = to_date(piv.t3_fch) and sdst3.accountno = piv.accountno and sdst3.br = piv.br and sdst3.ccy = piv.ccy left join $TMPBOR.TMP_AFISACBHEF07 sdst4 on to_date(sdst4.instrtdte) = to_date(piv.t4_fch) and sdst4.accountno = piv.accountno and sdst4.br = piv.br and sdst4.ccy = piv.ccy,,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
10,AFISACBHEF,AFISACBHEF10,$DMBOR.MST_AFISACBHEF10,Codigo,INSERTTMP,SELECT,"br, accountno, ccy, date_format(instrtdte_t, 'yyyyMMdd') instrtdte_t, printf('%1.2f', sum(origbalance_t)+0) origbalance_t,date_format(instrtdte_t1, 'yyyyMMdd')instrtdte_t1, printf('%1.2f', sum(origbalance_t1)+0) origbalance_t1,date_format(instrtdte_t2, 'yyyyMMdd') instrtdte_t2,printf('%1.2f', sum(origbalance_t2)+0) origbalance_t2,date_format(instrtdte_t3, 'yyyyMMdd') instrtdte_t3, printf('%1.2f', sum(origbalance_t3)+0) origbalance_t3,date_format(instrtdte_t4, 'yyyyMMdd') instrtdte_t4, printf('%1.2f', sum(origbalance_t4)+0) origbalance_t4",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
10,AFISACBHEF,AFISACBHEF10,$DMBOR.MST_AFISACBHEF10,Tabla,INSERTTMP,FROM,"(select br, accountno, ccy, instrtdte_t, origbalance_t, instrtdte_t1, origbalance_t1, instrtdte_t2, origbalance_t2, instrtdte_t3, origbalance_t3, instrtdte_t4, origbalance_t4 from $TMPBOR.TMP_AFISACBHEF09 union all select br, accountno, ccy, instrtdte_t, origbalance_t, instrtdte_t1, origbalance_t1, instrtdte_t2, origbalance_t2, instrtdte_t3, origbalance_t3, instrtdte_t4, origbalance_t4 from $TMPBOR.TMP_AFISACBHEF05) t",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
10,AFISACBHEF,AFISACBHEF10,$DMBOR.MST_AFISACBHEF10,Grupo,INSERTTMP,GRUPO,"br, accountno, ccy, instrtdte_t, instrtdte_t1, instrtdte_t2, instrtdte_t3, instrtdte_t4",,,,,,,1,16/4/2021,16/4/2021,D,INICIAL,RPT_BOFA
